track|album|album_type
Black Beatles|SremmLife 2 (Deluxe)|album
Starboy|Starboy|album
Closer|Closer|single
24K Magic|24K Magic|album
Side To Side|Dangerous Woman|album
Juju On That Beat (TZ Anthem)|Juju On That Beat (TZ Anthem)|single
Don't Wanna Know|Don't Wanna Know|single
Let Me Love You|Encore|album
Heathens|Heathens|single
Bad Things|Bad Things|single
Fake Love|Fake Love|single
Broccoli|Broccoli (feat. Lil Yachty) - Single|single
Scars To Your Beautiful|Know-It-All (Deluxe)|album
Starving|Starving|single
Caroline|Caroline|single
I Hate U I Love U|us|album
All I Want For Christmas Is You|Merry Christmas|album
The Greatest|This Is Acting (Deluxe Version)|album
Treat You Better|Illuminate (Deluxe)|album
Love On The Brain|ANTI|album
Cold Water|Cold Water|single
Unsteady|VHS|album
Love Me Now|Love Me Now|single
Bad And Boujee|Bad and Boujee (Originally Performed by Migas & Lil Uzi Vert) [Instrumental Version]|single
In The Name Of Love|In the Name of Love|single
Cheap Thrills|Cheap Thrills|single
OOOUUU|OOOUUU|single
I Feel It Coming|Starboy|album
Party Monster|Starboy|album
Blue Ain't Your Color|Ripcord|album
Don't Let Me Down|Don't Let Me Down|single
Can't Stop The Feeling!|TROLLS (Original Motion Picture Soundtrack)|album
All Time Low|All Time Low|single
Chill Bill|Chill Bill|single
Jingle Bell Rock|Christmas Number 1's|album
This Is What You Came For|This Is What You Came For|single
Rockin' Around The Christmas Tree|Christmas Classics Featuring Rudolph The Red-Nosed Reindeer, Frosty The Snowman & The Little Drummer Boy|album
Mercy|Illuminate (Deluxe)|album
Bounce Back|Bounce Back|single
Ride|Blurryface|album
This Town|This Town|single
May We All|Dig Your Roots|album
X|Savage Mode|album
Do You Mind|Major Key|album
Hallelujah|A Pentatonix Christmas|album
Needed Me|ANTI|album
One Dance|Views|album
Redbone|"""Awaken, My Love!"""|album
You Was Right|Lil Uzi Vert Vs. The World|album
Reminder|Starboy|album
Used To This|Used to This|single
Million Reasons|Joanne (Deluxe)|album
Wanna Be That Song|Illinois|album
Sidewalks|Starboy|album
Six Feet Under|Starboy|album
Come And See Me|PARTYNEXTDOOR 3 (P3)|album
No Heart|Savage Mode|album
Water Under The Bridge|25|album
Song For Another Time|Meat and Candy|album
Say You Won't Let Go|Back from the Edge|album
Tiimmy Turner|Tiimmy Turner|single
Pick Up The Phone|Pick up the Phone (Originally by Young Thug, Travis Scott and Quavo) [Karaoke Instrumental]|single
Sneakin'|Sneakin’|single
Too Much Sauce|Too Much Sauce|single
Black Barbies||
Secrets|Starboy|album
Better Man|Better Man|single
Me And Your Mama|"""Awaken, My Love!"""|album
Dirty Laundry|Storyteller|album
How Far I'll Go|Moana (Original Motion Picture Soundtrack/Deluxe Edition)|album
Die For You|Starboy|album
1 Night|Lil Boat|album
Fresh Eyes|Fresh Eyes|single
Sleep Without You|Brett Young EP|album
HandClap|Fitz and The Tantrums|album
Home|home (feat. johnny yukon)|single
Play That Song|Play That Song|single
True Colors|Starboy|album
Chantaje|Chantaje|single
Middle Of A Memory|You Should Be Here|album
A Guy With A Girl|If I'm Honest|album
Rockin'|Starboy|album
All I Know|Starboy|album
That's My Girl|7/27 (Deluxe)|album
Star Of The Show|Tangled Up (Deluxe)|album
False Alarm|Starboy|album
Setting The World On Fire|Setting the World On Fire|single
How I'll Always Be|Damn Country Music|album
All We Know|All We Know|single
Selfish|Selfish|single
My Sh*t|Artist|album
You're Welcome|Moana (Original Motion Picture Soundtrack/Deluxe Edition)|album
False Prophets|False Prophets|single
Alone|Alone|single
Dirt On My Boots|California Sunrise|album
Attention|Starboy|album
Ordinary Life|Starboy|album
Sex With Me|ANTI (Deluxe)|album
What They Want|What They Want|single
Rockabye|Rockabye (feat. Sean Paul & Anne-Marie)|single
