artist_id	artist_name	artist_weight	feat_weight
1	Gucci Mane	0.89	0.445
2	Halsey	0.6	0.3
3	Daft Punk	0.02	0.01
4	Justin Bieber	17.19	8.595
5	Nicki Minaj	7.91	3.955
6	Zayion McCall	NULL	NULL
7	Lil Yachty	0.49	0.245
8	Kendrick Lamar	8.47	4.234999999945
9	Olivia O'Brien	NULL	NULL
10	MÃ˜	NULL	NULL
11	Drake	35.29	17.644999999985
12	Sean Paul	1.62	0.81
13	Grey	NULL	NULL
14	Zedd	1.81	0.905
15	Daya	0.51	0.255
16	Rihanna	6.11	3.054999999975
17	J. Davi$	NULL	NULL
18	Spooks	NULL	NULL
19	Tim McGraw	6.14	3.06999999996
20	Bebe Rexha	NULL	NULL
21	WizKid	NULL	NULL
22	Kyla	NULL	NULL
23	Wiz Khalifa	6.64	3.31999999998
24	Imagine Dragons	2.83	1.41499999998
25	Logic	1	0.5
26	Ty Dolla $ign	2.21	1.105
27	X Ambassadors	1.24	0.619999999995
28	Metro Boomin	NULL	NULL
29	Future	10.71	5.355
30	Chris Brown	8.54	4.26999999996
31	August Alsina	1.17	0.585
32	Jeremih	0.36	0.18
33	Rick Ross	3.55	1.775
34	21 Savage	0.93	0.465
35	Selena Gomez	0.95	0.474999999985
36	Lil Wayne	8.36	4.18
37	2 Chainz	5.18	2.589999999975
38	P!nk	0.94	0.47
39	Phoebe Ryan	NULL	NULL
40	Lil Uzi Vert	1.06	0.53
41	Young Thug	4.59	2.295
42	XYLÃ˜	NULL	NULL
43	Camila Cabello	NULL	NULL
44	Migos	3.34	1.67
45	Trouble	NULL	NULL
46	Tory Lanez	0.19	0.095
47	Emily Warren	NULL	NULL
48	Skeme	NULL	NULL
49	Lyquin	NULL	NULL
50	Flo Rida	2.45	1.22499999999
51	Lunchmoney Lewis	0.79	0.395
52	Seeb	NULL	NULL
53	Quavo	NULL	NULL
54	Maluma	NULL	NULL
55	Tove Lo	0.99	0.495
56	Cookin' On 3 Burners	NULL	NULL
57	Kamaiyah	NULL	NULL
58	Kodak Black	NULL	NULL
59	G-Eazy	2.97	1.485
60	Elle King	0.1	0.05
61	Kanye West	10.02	5.01
62	Fetty Wap	2.97	1.48499999998
63	JAY Z	5.91	2.955
64	The Weeknd	7.92	3.95999999999
65	Sampha	NULL	NULL
66	kai	NULL	NULL
67	Jayla Beyonce Wright	NULL	NULL
68	The Throne	NULL	NULL
69	Remy Ma	NULL	NULL
70	French Montana	2.85	1.425
71	InfaRed	NULL	NULL
72	Big Sean	6.02	3.00999999996
73	Betty Wright	NULL	NULL
74	Wisin	0.94	0.47
75	Nyla	NULL	NULL
76	Fuse Odg	NULL	NULL
77	MNEK	NULL	NULL
78	Shakira	2.66	1.33
79	Young Dolph	NULL	NULL
80	Enrique Iglesias	3.46	1.72999999998
81	Cassadee Pope	2.32	1.16
82	Travis Scott	1.89	0.945
83	Yo Gotti	2.9	1.45
84	Desiigner	0.35	0.175
85	PARTYNEXTDOOR	0.55	0.275
86	Bipolar Sunshine	NULL	NULL
87	OK DAC courtesy of Formation Records and Taciturn	NULL	NULL
88	E-40	NULL	NULL
89	ROZES	NULL	NULL
90	Carrie Underwood	3.64	1.82
91	Pimp C	NULL	NULL
92	dvsn	NULL	NULL
93	Gwen Stefani	1.52	0.75999999999
94	Kesha	0.84	0.42
95	Usher	2.49	1.244999999985
96	ZAYN	1.15	0.574999999995
97	Dakota	NULL	NULL
98	Francesco Yates	NULL	NULL
99	Remy Boyz	NULL	NULL
100	John Legend	1.87	0.935
101	Karen Fairchild	NULL	NULL
102	Charlie Puth	0.42	0.21
103	Jason Derulo	4.6	2.29999999996
104	Rich Homie Quan	1.5	0.75
105	Homie Quan	NULL	NULL
106	Bruno Mars	3.74	1.86999999996
107	Sia	0.76	0.38
108	Demi Lovato	4.51	2.255
109	SilentÃ³	0.03	0.015
110	Pharrell Williams	0.24	0.12
111	Jamie Foxx	0.93	0.465
112	Trey Songz	6.24	3.12
113	Adam Levine	0.68	0.34
114	Ed Sheeran	2.07	1.034999999985
115	Queen	NULL	NULL
116	Rae Sremmurd	3.58	1.79
117	Skrillex	3.33	1.665
118	Diplo	NULL	NULL
119	Grandmaster Melle Mel	NULL	NULL
120	Kool Moe Dee	NULL	NULL
121	Grandmaster Caz	NULL	NULL
122	Eric Nally	NULL	NULL
123	Monty	NULL	NULL
124	A$AP Rocky	4	2
125	Disciples	NULL	NULL
126	Nas	NULL	NULL
127	Meghan Trainor	1.43	0.71499999998
128	Ellie Goulding	3.09	1.545
129	Tarrus Riley	NULL	NULL
130	Kid Ink	5.01	2.505
131	Futuristic	NULL	NULL
132	Roman GianArthur	NULL	NULL
133	BeyoncÃ©	4.68	2.34
134	Arrow Benjamin	NULL	NULL
135	Robin Thicke	1.08	0.54
136	Verdine White	NULL	NULL
137	Jhene Aiko	0.43	0.215
138	Conrad Sewell	NULL	NULL
139	Lana Del Rey	3.36	1.68
140	Jon Bellion	0.32	0.16
141	Lophiile	NULL	NULL
142	Cameron Boyce	NULL	NULL
143	Booboo Stewart	NULL	NULL
144	Sofia Carson	NULL	NULL
145	Tyga	5.54	2.77
146	Sam Smith	3.67	1.83499999998
147	Afrojack	2.29	1.144999999995
148	Labrinth	0.34	0.17
149	Dej Loaf	0.92	0.46
150	AlunaGeorge	NULL	NULL
151	Nick Jonas	0.78	0.39
152	J. Cole	3.27	1.635
153	Jidenna	0.22	0.11
154	Jennifer Lopez	4.58	2.29
155	Pitbull	6.32	3.15999999998
156	B.o.B	4	2
157	Lookas	NULL	NULL
158	Sage The Gemini	1.56	0.78
159	Catherine Dunn	NULL	NULL
160	Gavin DeGraw	0.93	0.465
161	Wale	6.29	3.14499999996
162	Grace Potter	NULL	NULL
163	Mohombi	NULL	NULL
164	Faydee	NULL	NULL
165	Costi	NULL	NULL
166	Iggy Azalea	0.77	0.385
167	Dro	NULL	NULL
168	Ne-Yo	0.25	0.125
169	Theophilus London	NULL	NULL
170	Allan Kingdom	NULL	NULL
171	Paul McCartney	NULL	NULL
172	Rod Stewart	NULL	NULL
173	Miguel	2.62	1.31
174	Mark Ronson	0.01	0.005
175	ScHoolboy Q	2.32	1.16
176	DJ Snake	0.41	0.205
177	Eric Church	7.13	3.56499999999
178	Juicy J	1.87	0.934999999995
179	YG	1.35	0.675
180	Jennifer Hudson	0.9	0.45
181	Tinashe	0.24	0.12
182	Ashley Monroe	NULL	NULL
183	Chance The Rapper	0.71	0.355
184	George Clinton	NULL	NULL
185	Thundercat	NULL	NULL
186	Bilal	NULL	NULL
187	Anna Wise	NULL	NULL
188	Snoop Dogg	0.07	0.035
189	Jennifer Lawrence	NULL	NULL
190	Ariana Grande	3.57	1.785
191	Broiler	NULL	NULL
192	Robin Schulz	0.02	0.01
193	Milo & Otis	NULL	NULL
194	Rich Kidz	NULL	NULL
195	Remo	NULL	NULL
196	Sam Martin	NULL	NULL
197	Rita Ora	1.39	0.695
198	John Newman	0.3	0.15
199	Jess Glynne	0.86	0.43
200	Skylar Grey	NULL	NULL
201	Madsonik	NULL	NULL
202	Kill The Noise	NULL	NULL
203	John Ryan	NULL	NULL
204	The Forest Rangers	NULL	NULL
205	Charli XCX	0.99	0.495
206	Descemer Bueno	NULL	NULL
207	Gente De Zona	NULL	NULL
208	Michael BublÃ©	1.9	0.95
209	K CAMP	0.54	0.27
210	Justin Moore	3.44	1.71999999999
211	Thomas Rhett	3.82	1.91
212	BJ The Chicago Kid	NULL	NULL
213	will.i.am	2.71	1.35499999998
214	Cher Lloyd	0.85	0.425
215	Faith Hill	0.82	0.41
216	Justin Timberlake	1.43	0.71499999998
217	Lil Jon	0.92	0.46
218	Chris Lake	NULL	NULL
219	Tujamo	NULL	NULL
220	Matthew Koma	NULL	NULL
221	Gwen Sebastian	NULL	NULL
222	DJ Mustard	NULL	NULL
223	Pusha T	0.89	0.445
224	Casino	NULL	NULL
225	Claudia Leitte	NULL	NULL
226	Wrabel	NULL	NULL
227	Jamie N Commons	NULL	NULL
228	G.R.L.	NULL	NULL
229	Luke Bryan	6.03	3.014999999975
230	Nate Ruess	0.77	0.385
231	Christina Aguilera	1.9	0.949999999995
232	Idina Menzel	0.78	0.39
233	Priscilla	NULL	NULL
234	Agatha Lee Monn	NULL	NULL
235	Katie Lopez	NULL	NULL
236	Miley Cyrus	2.04	1.02
237	Jeezy	3.12	1.56
238	Santino Fontana	NULL	NULL
239	Majid Jordan	NULL	NULL
240	T.I.	5.07	2.535
241	Ricky Martin	NULL	NULL
242	The Lonely Island	1.58	0.79
243	R. Kelly	0.89	0.445
244	Ayah Marar	NULL	NULL
245	Hayley Williams	NULL	NULL
246	MC Eiht	NULL	NULL
247	Marco Antonio SolÃ­s	NULL	NULL
248	Trinidad James	0.36	0.18
249	Iamsu!	NULL	NULL
250	Jason Mraz	0.08	0.04
251	Katy Perry	1.4	0.69999999996
252	Cedric Gervais	NULL	NULL
253	Dave Days	NULL	NULL
254	Alex G	NULL	NULL
255	Jon D	NULL	NULL
256	Chad Kroeger	NULL	NULL
257	Foxes	NULL	NULL
258	TLC	NULL	NULL
259	Nile Rodgers	NULL	NULL
260	Lily Allen	NULL	NULL
261	Nelly	1.65	0.825
262	Romeo Santos	1.24	0.62
263	Consequence	NULL	NULL
264	Cam'Ron	NULL	NULL
265	Ryan Lewis	NULL	NULL
266	Mary Lambert	0.66	0.33
267	Macklemore	NULL	NULL
268	Mac Miller	4.95	2.47499999999
269	Trevor Guthrie	NULL	NULL
270	Birdman	0.68	0.34
271	Mack Maine	NULL	NULL
272	Mikky Ekko	NULL	NULL
273	Emeli SandÃ©	0.25	0.125
274	Jacob Colgan	NULL	NULL
275	Fred Stobaugh	NULL	NULL
276	Sam Dew	NULL	NULL
277	Pistol Annies & Friends	NULL	NULL
278	David Guetta	4.41	2.20499999995
279	Kelly Rowland	1.77	0.885
280	Missy Elliott	0.22	0.11
281	Akon	NULL	NULL
282	LOLO	NULL	NULL
283	Taylor Swift	0.49	0.245
284	Keith Urban	5.27	2.63499999996
285	Frank Ocean	5.51	2.75499999999
