track_id	track_name	feat_artist	artist_id
0	Written In	NULL	0
1	Black Beatles	Gucci Mane	1
2	Closer	Halsey	2
3	Starboy	Daft Punk	3
5	Let Me Love You	Justin Bieber	4
5	Let Me Love You	Lil Wayne	36
7	Side To Side	Nicki Minaj	5
8	Juju On That Beat (TZ Anthem)	Zayion McCall	6
9	Broccoli	Lil Yachty	7
10	Don't Wanna Know	Kendrick Lamar	8
11	I Hate U I Love U	Olivia O'Brien	9
12	Cold Water	Justin Bieber	4
12	Cold Water	MÃ˜	10
14	Used To This	Drake	11
15	Cheap Thrills	Sean Paul	12
19	Starving	Grey	13
19	Starving	Zedd	14
21	The Greatest	Kendrick Lamar	8
23	Don't Let Me Down	Daya	15
27	This Is What You Came For	Rihanna	16
29	Chill Bill	J. Davi$	17
29	Chill Bill	Spooks	18
30	May We All	Tim McGraw	19
31	In The Name Of Love	Bebe Rexha	20
32	One Dance	WizKid	21
32	One Dance	Kyla	22
35	Sucker For Pain	Wiz Khalifa	23
35	Sucker For Pain	Imagine Dragons	24
35	Sucker For Pain	Logic	25
35	Sucker For Pain	Ty Dolla $ign	26
35	Sucker For Pain	X Ambassadors	27
37	X	Metro Boomin	28
37	X	Future	29
37	X	Chris Brown	30
39	Do You Mind	Nicki Minaj	5
39	Do You Mind	Future	29
39	Do You Mind	Chris Brown	30
39	Do You Mind	August Alsina	31
39	Do You Mind	Jeremih	32
39	Do You Mind	Rick Ross	33
43	Sneakin'	21 Savage	34
44	We Don't Talk Anymore	Selena Gomez	35
45	Too Good	Rihanna	16
46	No Problem	Lil Wayne	36
46	No Problem	2 Chainz	37
48	Setting The World On Fire	P!nk	38
55	My Way	Monty	123
56	Come And See Me	Drake	11
57	No Heart	Metro Boomin	28
58	Mercy	2 Chainz	37
58	Mercy	Big Sean	72
58	Mercy	Pusha T	223
60	All We Know	Phoebe Ryan	39
68	Too Much Sauce	Future	29
68	Too Much Sauce	Lil Uzi Vert	40
69	No Limit	Young Thug	41
71	Setting Fires	XYLÃ˜	42
73	Bad Things	Camila Cabello	43
77	Key To The Streets	Migos	44
77	Key To The Streets	Trouble	45
79	Litty	Tory Lanez	46
85	Capsize	Emily Warren	47
93	All Eyez	Jeremih	32
94	Wishing	Chris Brown	30
94	Wishing	Skeme	48
94	Wishing	Lyquin	49
97	Greenlight	Flo Rida	50
97	Greenlight	Lunchmoney Lewis	51
101	Hymn For The Weekend	Seeb	52
102	Froze	Nicki Minaj	5
102	Froze	Lil Uzi Vert	40
103	Offended	21 Savage	34
103	Offended	Young Thug	41
106	The Difference	Quavo	53
109	Chantaje	Maluma	54
116	Say It	Tove Lo	55
117	This Girl	Cookin' On 3 Burners	56
118	Why You Always Hatin?	Drake	11
118	Why You Always Hatin?	Kamaiyah	57
120	Lockjaw	Kodak Black	58
121	You & Me	G-Eazy	59
123	For Free	Drake	11
124	Work From Home	Ty Dolla $ign	26
127	Different For Girls	Elle King	60
128	THat Part	Kanye West	61
129	All In My Head (Flex)	Fetty Wap	62
133	I Got The Keys	Future	29
133	I Got The Keys	JAY Z	63
136	You Don't Own Me	G-Eazy	59
143	Low Life	The Weeknd	64
145	Don't Touch My Hair	Sampha	65
147	Work	Drake	11
147	Work	French Montana	70
147	Work	A$AP Rocky	124
147	Work	ScHoolboy Q	175
147	Work	Trinidad James	248
149	Never Be Like You	kai	66
153	Purple Lamborghini	Rick Ross	33
156	No Shopping	Drake	11
166	Deja Vu	Justin Bieber	4
167	Make Me...	G-Eazy	59
171	Sorry	Chris Brown	30
171	Sorry	Jayla Beyonce Wright	67
181	Duele El Corazon	Wisin	74
193	Pop Style	The Throne	68
198	Let It Go	Akon	281
202	All The Way Up	JAY Z	63
202	All The Way Up	Remy Ma	69
202	All The Way Up	French Montana	70
202	All The Way Up	InfaRed	71
203	Close	Tove Lo	55
207	Dangerous Woman	Nicki Minaj	5
209	Holy Key	Kendrick Lamar	8
209	Holy Key	Big Sean	72
209	Holy Key	Betty Wright	73
213	Make Me	G-Eazy	59
216	P**** Print	Kanye West	61
217	Light It Up	Nyla	75
217	Light It Up	Fuse Odg	76
219	Never Forget You	MNEK	77
226	Body	Jeremih	32
228	Me, Myself & I	Bebe Rexha	20
234	La Bicicleta	Shakira	78
235	Cut It	Young Dolph	79
239	Messin' Around	Enrique Iglesias	80
244	Think Of You	Cassadee Pope	81
245	Grammys	Future	29
247	Champions	Gucci Mane	1
247	Champions	2 Chainz	37
247	Champions	Quavo	53
247	Champions	Big Sean	72
247	Champions	Travis Scott	82
247	Champions	Yo Gotti	83
247	Champions	Desiigner	84
257	With You	PARTYNEXTDOOR	85
258	Might Not	The Weeknd	64
259	Faded	Lil Wayne	36
260	Middle	Bipolar Sunshine	86
263	Nothing Is Promised	Rihanna	16
265	Formation	OK DAC courtesy of Formation Records and Taciturn	87
268	Law	E-40	88
284	Roses	ROZES	89
286	The Fighter	Carrie Underwood	90
289	Faithful	Pimp C	91
289	Faithful	dvsn	92
290	Blessings	Drake	11
292	Promise	Fetty Wap	62
292	Promise	Usher	95
293	Go Ahead And Break My Heart	Gwen Stefani	93
306	True Colors	Kesha	94
307	Views	WizKid	21
307	Views	Kyla	22
317	Jumpman	Future	29
319	Back To Sleep	Usher	95
319	Back To Sleep	ZAYN	96
321	New Level	Future	29
327	Hello	Dragonette	375
328	Down In The DM	Nicki Minaj	5
332	Saved	E-40	88
338	Fast Car	Dakota	97
341	Waves	Robin Schulz	192
342	Sugar	Francesco Yates	98
354	679	Remy Boyz	99
357	Like I'm Gonna Lose You	John Legend	100
361	I Know What You Did Last Summer	Camila Cabello	43
363	Home Alone Tonight	Karen Fairchild	101
375	Something New	Chris Brown	30
384	Gotta Lotta	Lil Wayne	36
387	See You Again	Charlie Puth	102
389	Hello Friday	Jason Derulo	103
391	$ave Dat Money	Fetty Wap	62
391	$ave Dat Money	Rich Homie Quan	104
391	$ave Dat Money	Homie Quan	105
398	Hollow	Big Sean	72
401	Uptown Funk!	Bruno Mars	106
404	Confident	Chance The Rapper	183
408	Bang My Head	Fetty Wap	62
408	Bang My Head	Sia	107
409	Irresistible	Demi Lovato	108
411	Dessert	SilentÃ³	109
412	Watch Me	Zendaya	379
412	Watch Me	Cast of Shake It Up: Break It Down	380
414	Bake Sale	Travis Scott	82
416	WTF (Where They From)	Pharrell Williams	110
418	The Fix	Jeremih	32
421	Big Rings	Future	29
423	Back Up	Big Sean	72
424	Jam	Ty Dolla $ign	26
424	Jam	Jamie Foxx	111
424	Jam	Trey Songz	112
426	Play No Games	Ty Dolla $ign	26
426	Play No Games	Chris Brown	30
432	Bottom Of The Bottle	August Alsina	31
432	Bottom Of The Bottle	Lil Wayne	36
433	Locked Away	Adam Levine	113
437	Lay It All On Me	Ed Sheeran	114
445	Under Pressure	Queen	115
450	Blase	Future	29
450	Blase	Rae Sremmurd	116
451	Where Ya At	Drake	11
452	Where Are U Now	Justin Bieber	4
452	Where Are U Now	Skrillex	117
452	Where Are U Now	Diplo	118
453	Downtown	Grandmaster Melle Mel	119
453	Downtown	Kool Moe Dee	120
453	Downtown	Grandmaster Caz	121
453	Downtown	Eric Nally	122
461	The Feeling	Halsey	2
463	Jugg	Monty	123
