track_id	track_name	track_artist	track_album	artist_id	album_id
1	Black Beatles	Rae Sremmurd	SremmLife 2 (Deluxe)	116	1
2	Closer	The Chainsmokers	Closer	390	2
3	Starboy	The Weeknd	Starboy	64	3
4	Heathens	Twenty One Pilots	Heathens	391	4
5	Let Me Love You	DJ Snake	Encore	176	5
6	24K Magic	Bruno Mars	24K Magic	106	6
7	Side To Side	Ariana Grande	Dangerous Woman	190	7
8	Juju On That Beat (TZ Anthem)	Zay Hilfigerrr	Juju On That Beat (TZ Anthem)	392	8
9	Broccoli	D.R.A.M.	Broccoli (feat. Lil Yachty) - Single	393	9
10	Don't Wanna Know	Maroon 5	Don't Wanna Know	394	10
11	I Hate U I Love U	gnash	us	395	11
12	Cold Water	Major Lazer	Cold Water	396	12
13	Treat You Better	Shawn Mendes	Illuminate (Deluxe)	397	13
14	Used To This	Future	Used to This	29	14
15	Cheap Thrills	Sia	Cheap Thrills	107	15
16	Can't Stop The Feeling!	Justin Timberlake	TROLLS (Original Motion Picture Soundtrack)	216	16
17	Fake Love	Drake	Fake Love	11	17
18	Caroline	AminÃ©	Caroline	398	18
19	Starving	Hailee Steinfeld	Starving	399	19
20	OOOUUU	Young M.a.	OOOUUU	400	20
21	The Greatest	Sia	The Greatest	107	21
22	Scars To Your Beautiful	Alessia Cara	Know-It-All (Deluxe)	401	22
23	Don't Let Me Down	The Chainsmokers	Don't Let Me Down	390	23
24	Gold	Kiiara	low kii savage	402	24
25	Unsteady	X Ambassadors	VHS	27	25
26	Blue Ain't Your Color	Keith Urban	Ripcord	284	26
27	This Is What You Came For	Calvin Harris	This Is What You Came For	331	27
28	Ride	Twenty One Pilots	Blurryface	391	28
29	Chill Bill	Rob $tone	Chill Bill	403	29
30	May We All	Florida Georgia Line	Dig Your Roots	404	30
31	In The Name Of Love	Martin Garrix	In the Name of Love	405	31
32	One Dance	Drake	Views	11	32
33	Send My Love (To Your New Lover)	Adele	Send My Love (To Your New Lover)	406	33
34	Needed Me	Rihanna	ANTI	16	34
35	Sucker For Pain	Lil Wayne	Sucker For Pain (with Logic & Ty Dolla $ign feat. X Ambassadors)	36	35
36	Tiimmy Turner	Desiigner	Tiimmy Turner	84	36
37	X	21 Savage	Savage Mode	34	37
38	Sit Still, Look Pretty	Daya	Sit Still, Look Pretty	15	38
39	Do You Mind	DJ Khaled	Major Key	341	39
40	Luv	Tory Lanez	I Told You	46	40
41	Panda	Desiigner	Panda	84	41
42	All Time Low	Jon Bellion	All Time Low	140	42
43	Sneakin'	Drake	Sneakinâ€™	11	43
44	We Don't Talk Anymore	Charlie Puth	Nine Track Mind	102	44
45	Too Good	Drake	Views	11	32
46	No Problem	Chance The Rapper	Coloring Book	183	46
47	Middle Of A Memory	Cole Swindell	You Should Be Here	407	47
48	Setting The World On Fire	Kenny Chesney	Setting the World On Fire	408	48
49	1 Night	Lil Yachty	Lil Boat	7	49
50	Pick Up The Phone	Karaoke Freaks	Pick up the Phone (Originally by Young Thug, Travis Scott and Quavo) [Karaoke Instrumental]	409	50
51	Sleep Without You	Brett Young	Brett Young EP	410	51
52	A Little More Summertime	Jason Aldean	They Don't Know	411	52
53	Better Man	Little Big Town	Better Man	412	53
54	Move	Luke Bryan	Kill The Lights (Deluxe)	229	54
55	My Way	Calvin Harris	My Way	331	55
56	Come And See Me	PARTYNEXTDOOR	PARTYNEXTDOOR 3 (P3)	85	56
57	No Heart	21 Savage	Savage Mode	34	37
58	Mercy	Shawn Mendes	Illuminate (Deluxe)	397	13
59	You Was Right	Lil Uzi Vert	Lil Uzi Vert Vs. The World	40	59
60	All We Know	The Chainsmokers	All We Know	390	60
61	Bounce Back	Big Sean	Bounce Back	72	61
62	Money Longer	Lil Uzi Vert	Lil Uzi Vert Vs. The World	40	59
63	Song For Another Time	Old Dominion	Meat and Candy	413	63
64	This Town	Niall Horan	This Town	414	64
65	Love On The Brain	Rihanna	ANTI	16	34
66	Love Me Now	John Legend	Love Me Now	100	66
67	Fade	Kanye West	The Life Of Pablo	61	67
68	Too Much Sauce	DJ Esco	Too Much Sauce	415	68
69	No Limit	Usher	No Limit	95	69
70	Vice	Miranda Lambert	Vice	416	70
71	Setting Fires	The Chainsmokers	Setting Fires	390	71
72	Dirty Laundry	Carrie Underwood	Storyteller	90	72
73	Bad Things	Machine Gun Kelly	Bad Things	417	73
74	Wanna Be That Song	Brett Eldredge	Illinois	418	74
75	Fresh Eyes	Andy Grammer	Fresh Eyes	419	75
76	Look Alive	Rae Sremmurd	SremmLife 2 (Deluxe)	116	1
77	Key To The Streets	YFN Lucci	Wish Me Well 2	420	77
78	HandClap	Fitz and The Tantrums	Fitz and The Tantrums	421	78
79	Litty	Meek Mill	DC4	310	79
80	Say You Won't Let Go	James Arthur	Say You Won't Let Go	422	80
81	Hallelujah	Pentatonix	A Pentatonix Christmas	423	81
82	PPAP (Pen-Pineapple-Apple-Pen)	PIKOTARO	PPAP (Pen Pineapple Apple Pen) [Long Version]	424	82
83	Ain't My Fault	Zara Larsson	Ain't My Fault	425	83
84	What They Want	Russ	What They Want	426	84
85	Capsize	FRENSHIP	Truce - EP	427	85
86	It Don't Hurt Like It Used To	Billy Currington	Summer Forever	428	86
87	Selfish	PnB Rock	Selfish	429	87
88	How I'll Always Be	Tim McGraw	Damn Country Music	19	88
89	Star Of The Show	Thomas Rhett	Tangled Up (Deluxe)	211	89
90	My Sh*t	A Boogie Wit da Hoodie	Artist	430	90
91	80s Mercedes	Maren Morris	HERO	431	91
92	I Know Somebody	LOCASH	The Fighters	432	92
93	All Eyez	The Game	All Eyez (feat. Jeremih)	433	93
94	Wishing	DJ Drama	Wishing (feat. Chris Brown, Skeme & Lyquin)	434	94
95	Wat U Mean (Aye, Aye, Aye)	Dae Dae	Wat U Mean (Aye, Aye, Aye)	435	95
